x,y,Especie,Subespecie,Nombre_com,Total,Lugar,latitude,longitude,Plataforma,Continent,objectid_1,objectid,cod_catalo,codigo_dta,provincia,canton,distrito,area,cod_provin,cod_canton,region,version
559021.8072,992458.2859,Alouatta palliata,No,Mono Congo,9,"Provincia de Puntarenas, Costa Rica",8.975264,-83.463223,iNaturalist,Si,16,16,160105,60502,Puntarenas,Osa,Palmar,251,6,605,Brunca,20200616
559028.7321,992462.3981,Cebus  imitator,No,Mono Carablanca,10,"Provincia de Puntarenas, Costa Rica",8.975301,-83.46316,iNaturalist,Si,16,16,160105,60502,Puntarenas,Osa,Palmar,251,6,605,Brunca,20200616
559050.925,992468.7986,Cebus  imitator,No,Mono Carablanca,1,"Osa, Puntarenas, CR",8.975358,-83.462958,iNaturalist,Si,16,16,160105,60502,Puntarenas,Osa,Palmar,251,6,605,Brunca,20200616
559054.2218,992470.0937,Cebus  imitator,No,Mono Carablanca,1,"Osa, Puntarenas, CR",8.97537,-83.462928,iNaturalist,Si,16,16,160105,60502,Puntarenas,Osa,Palmar,251,6,605,Brunca,20200616
559037.2362,992470.688,Cebus  imitator,No,Mono Carablanca,25,"Provincia de Puntarenas, Costa Rica",8.975376,-83.463083,iNaturalist,Si,16,16,160105,60502,Puntarenas,Osa,Palmar,251,6,605,Brunca,20200616
559153.1174,992483.355,Cebus  imitator,No,Mono Carablanca,20,"Provincia de Puntarenas, Costa Rica",8.975489,-83.462029,iNaturalist,Si,16,16,160105,60502,Puntarenas,Osa,Palmar,251,6,605,Brunca,20200616
558980.5795,992667.4689,Cebus  imitator,No,Mono Carablanca,10,"Provincia de Puntarenas, Costa Rica",8.977156,-83.463595,iNaturalist,Si,16,16,160105,60502,Puntarenas,Osa,Palmar,251,6,605,Brunca,20200616
559135.1237,993045.1944,Alouatta palliata,No,Mono Congo,7,"Osa, CR-PU, CR",8.980569,-83.462185,iNaturalist,Si,16,16,160105,60502,Puntarenas,Osa,Palmar,251,6,605,Brunca,20200616
537642.3422,1003413.131,Cebus  imitator,imitator,Mono Carablanca,4,Reserva Playa Tortuga,9.074551,-83.657563,iNaturalist,Si,21,21,160105,60501,Puntarenas,Osa,Puerto Cortés,234,6,605,Brunca,20200616
537642.3422,1003413.131,Alouatta palliata,No,Mono Congo,7,Reserva Playa Tortuga,9.074551,-83.657563,iNaturalist,Si,21,21,160105,60501,Puntarenas,Osa,Puerto Cortés,234,6,605,Brunca,20200616
537642.3422,1003413.131,Alouatta palliata,No,Mono Congo,31,Reserva Playa Tortuga,9.074551,-83.657563,iNaturalist,Si,21,21,160105,60501,Puntarenas,Osa,Puerto Cortés,234,6,605,Brunca,20200616
539126.9487,1007357.169,Cebus  imitator,No,Mono Carablanca,1,"Osa, Puntarenas, CR",9.110201,-83.644023,iNaturalist,Si,388,472,160105,60504,Puntarenas,Osa,Bahía Ballena,158,6,605,Brunca,20200616
606112.4808,1007721.142,Saimiri oerstedii,No,Mono Tití,34,"Puntarenas, CR",9.112386,-83.03462,iNaturalist,Si,23,23,160105,60308,Puntarenas,Buenos Aires,Biolley,208,6,603,Brunca,20200616
528911.7644,1011850.428,Alouatta palliata,No,Mono Congo,10,"Provincia de Puntarenas, Uvita, Costa Rica",9.150909,-83.73693,iNaturalist,Si,388,472,160105,60504,Puntarenas,Osa,Bahía Ballena,158,6,605,Brunca,20200616
528854.079,1011876.45,Alouatta palliata,No,Mono Congo,17,"Provincia de Puntarenas, Uvita, Costa Rica",9.151144,-83.737455,iNaturalist,Si,388,472,160105,60504,Puntarenas,Osa,Bahía Ballena,158,6,605,Brunca,20200616
