ID,x,y,Especie,Subespecie,Nombre común,Total,Lugar,lat,lng,id
49,528854.079,1011876.45,Alouatta palliata,,Mono Congo,17,"Provincia de Puntarenas, Uvita, Costa Rica",9.151144,-83.737455,68225156
50,528921.6656,1011938.161,Alouatta palliata,,Mono Congo,8,"Puntarenas Province, Uvita, Costa Rica",9.151702,-83.736839,68834579
51,526769.4513,1012063.072,Alouatta palliata,,Mono Congo,3,"Bah?¡a Ballena, Provincia de Puntarenas, P?®rez Zeled??n, Costa Rica",9.152845,-83.756422,68215152
52,528113.7601,1012104.857,Alouatta palliata,,Mono Congo,2,"Provincia de Puntarenas, Uvita, Costa Rica",9.153214,-83.744189,68222960
53,527446.6762,1012198,Alouatta palliata,,Mono Congo,6,"Playa Uvita, Provincia de Puntarenas, Uvita, Costa Rica",9.154061,-83.750259,68212141
54,524613.8792,1016918.37,Alouatta palliata,,Mono Congo,10,"Bah?¡a Ballena, Provincia de Puntarenas, P?®rez Zeled??n, Costa Rica",9.19676,-83.776008,68158273
55,536356.4674,1018431.313,Alouatta palliata,,Mono Congo,5,"Puntarenas, CR",9.210358,-83.669136,68486199
56,519445.6601,1019455.505,Cebus  imitator,,Mono Carablanca,1,"Bah?¡a Ballena, Provincia de Puntarenas, P?®rez Zeled??n, Costa Rica",9.219728,-83.823028,68421387
57,519405.2256,1019570.462,Cebus  imitator,,Mono Carablanca,12,"Bah?¡a Ballena, Provincia de Puntarenas, P?®rez Zeled??n, Costa Rica",9.220768,-83.823396,68247835
58,543780.0141,1021496.548,Cebus  imitator,,Mono Carablanca,12,"Puntarenas, CR",9.238006,-83.601547,68486115
59,514062.9914,1024017.579,Cebus  imitator,,Mono Carablanca,5,"Provincia de Puntarenas, Savegre, Costa Rica",9.261,-83.872,68695269
60,505879.7417,1029542.838,Cebus  imitator,,Mono Carablanca,1,"Provincia de Puntarenas, Savegre, Costa Rica",9.31098,-83.946476,68639948
61,528053.4833,1030300.726,Alouatta palliata,,Mono Congo,2,"P?®rez Zeled??n, San Jos?®, CR",9.317745,-83.744619,68865732
62,503636.344,1030987.947,Cebus  imitator,,Mono Carablanca,40,"Calle Jard?¡n de los Monos, Playa Matapalo, Provincia de Puntarenas, Matapalo, 60602, Costa Rica",9.324049,-83.966896,68168269
63,540790.4145,1032695.642,Cebus  imitator,,Mono Carablanca,7,"San Jos?® Province, P?®rez Zeled??n, Costa Rica",9.339298,-83.628649,68506860
64,484034.3419,1037822.124,Cebus  imitator,,Mono Carablanca,1,"Parque Nacional Manuel Antonio, Aguirre, Puntarenas, CR",9.385817,-84.14537,68339563
65,375684.8806,1059105.579,Cebus  imitator,,Mono Carablanca,7,"C??bano, Provincia de Puntarenas, Costa Rica",9.576446,-85.132462,68122683
66,375232.6995,1059456.602,Alouatta palliata,,Mono Congo,9,"Puntarenas, CR-PU, CR",9.579606,-85.136591,68122738
67,380095.4912,1061181.439,Alouatta palliata,,Mono Congo,15,"Cabuya, Provincia de Puntarenas, Costa Rica",9.595342,-85.092348,68453925
68,444611.0361,1062042.987,Cebus  imitator,,Mono Carablanca,1,"Turrubares, San Jos?®, CR",9.604487,-84.504638,68292428
69,374745.6628,1062566.513,Alouatta palliata,,Mono Congo,15,"Puntarenas, CR-PU, CR",9.607706,-85.141122,68118418
70,374271.519,1063683.296,Cebus  imitator,,Mono Carablanca,16,Villas Monarka,9.617788,-85.145475,68642362
71,644359.6791,1064583.637,Alouatta palliata,,Mono Congo,7,"Lim??n, Costa Rica",9.625322,-82.68478,68388442
72,646235.2973,1064733.241,Alouatta palliata,,Mono Congo,2,"Lim??n, Costa Rica",9.626609,-82.667689,68388686
73,646156.428,1064740.65,Cebus  imitator ,imitator,Mono Carablanca,5,"Lim??n, Costa Rica",9.626679,-82.668407,68388628
74,644443.314,1064791.916,Alouatta palliata,,Mono Congo,7,"Lim??n, Costa Rica",9.627202,-82.68401,68388571
75,644364.7959,1064899.816,Alouatta palliata,,Mono Congo,1,"Lim??n, Costa Rica",9.62818,-82.684722,68388530
76,641439.95,1065817.923,Alouatta palliata,,Mono Congo,1,"Talamanca, Limon, CR",9.63658,-82.711333,68166365
77,648039.5787,1065873.956,Alouatta palliata,,Mono Congo,12,"Lim??n Province, Punta Manzanillo, Costa Rica",9.636857,-82.651213,68388906
78,648169.9327,1065998.613,Alouatta palliata,,Mono Congo,5,"Lim??n, Manzanillo, Costa Rica",9.637979,-82.650021,68388958
79,642456.8961,1065994.88,Alouatta palliata,,Mono Congo,1,"Talamanca, Limon, CR",9.638145,-82.702063,68726521
80,642556.5054,1066032.437,Alouatta palliata,,Mono Congo,1,"Talamanca, Limon, CR",9.638481,-82.701155,68726412
81,467808.3449,1067334.01,Saimiri oerstedii,,Mono Tití,42,"Puntarenas, CR",9.652571,-84.293336,68458343
82,634768.9339,1067752.558,Alouatta palliata,,Mono Congo,7,Costa Rica,9.654291,-82.77204,68389569
83,636631.5977,1068133.303,Alouatta palliata,,Mono Congo,5,"Talamanca, CR-LI, CR",9.657672,-82.755058,68372749
84,468531.8225,1070760.467,Saimiri oerstedii,,Mono Tití,42,"Puntarenas, CR",9.683559,-84.28677,69014399
85,630049.4517,1072631.427,Alouatta palliata,,Mono Congo,15,"Parque Nacional Cahuita, Talamanca, Lim??n, CR",9.698547,-82.814881,68559009
86,630003.0688,1072634.937,Alouatta palliata,,Mono Congo,20,"Parque Nacional Cahuita, Talamanca, Lim??n, CR",9.69858,-82.815304,68656494
87,630029.1531,1072644.617,Alouatta palliata,,Mono Congo,1,"Parque Nacional Cahuita, Talamanca, Lim??n, CR",9.698667,-82.815066,68454719
88,630049.6462,1072671.654,Alouatta palliata,,Mono Congo,1,"Parque Nacional Cahuita, Talamanca, Lim??n, CR",9.69891,-82.814878,68379569
89,626028.4018,1075238.675,Alouatta palliata,,Mono Congo,3,"Lim??n, CR",9.722242,-82.851439,68379685
90,627865.3695,1076642.387,Alouatta palliata,,Mono Congo,10,Costa Rica,9.734875,-82.834656,68335811
91,627388.9073,1076823.518,Cebus  imitator,,Mono Carablanca,1,Parque nacional Cahuita,9.736527,-82.838992,68720243
